road_id,idle_driver_count
"(1872078101, 1872078097)",5
"(2086920269, 436849185)",9
"(436856092, 5593950713)",7
"(436718742, 436718744)",7
"(3612320599, 5851251264)",9
"(1936511558, 2429209317)",3
"(436830303, 5593950713)",4
"(2429209317, 1936511558)",6
"(2064414514, 2429209317)",10
"(5853280339, 436718742)",10
"(436830314, 436852111)",2
"(436856092, 5851251264)",6
"(1872078097, 5593950713)",6
"(1936511558, 1936511524)",4
"(436856092, 436830303)",5
"(436718744, 436852113)",7
"(436852113, 436718742)",5
"(436852111, 436857634)",8
"(436852113, 871729552)",4
"(436852186, 5853280339)",5
"(436877383, 3863007944)",9
"(4732212850, 436850158)",9
"(436718742, 436830314)",3
"(436857634, 871729552)",3
"(1936511558, 3612320599)",9
"(436867523, 5853280339)",5
"(436852111, 436839420)",6
"(2252763455, 1945254901)",2
"(1908148227, 3863007944)",6
"(436718744, 436718742)",5
"(2086920269, 436830303)",6
"(1945254901, 2252763455)",4
"(436718740, 1936511558)",3
"(3863007944, 1908148227)",3
"(436867523, 5049929454)",4
"(871729552, 4203161539)",6
"(436718742, 436718740)",4
"(436852111, 436852113)",4
"(2429209317, 436852186)",3
"(436857634, 436852111)",5
"(3612320599, 436718740)",2
"(4876253552, 2429209317)",7
"(436856092, 3612320599)",6
"(436852186, 436852190)",10
"(3863007944, 436877383)",6
"(436830303, 2086920269)",3
"(436718742, 436852113)",11
"(3612320599, 1936511558)",11
"(5593950713, 1872078097)",6
"(2086920269, 3863007944)",3
"(436856092, 436830314)",4
"(1906487073, 4876253552)",3
"(1936511524, 1936511558)",3
"(5593950713, 436830303)",5
"(1945254981, 436718744)",6
"(5853280339, 436852186)",2
"(1936511558, 436856092)",7
"(436856092, 1872078101)",11
"(436718744, 1945254901)",2
"(2429209317, 4876253552)",6
"(2252763455, 436852113)",7
"(436850158, 436807121)",3
"(436849185, 436839420)",4
"(436849185, 2086920269)",9
"(436849185, 436830314)",5
"(436718742, 3612320599)",6
"(5049929454, 436867523)",6
"(4876253552, 1906487073)",3
"(3863007944, 2086920269)",3
"(1872078101, 436856092)",4
"(436718744, 436852118)",7
"(436839420, 436852111)",5
"(436867523, 436852118)",10
"(436856092, 436849185)",2
"(436852118, 436867523)",3
"(1906487073, 2064414514)",6
"(436852111, 436830314)",3
"(436830314, 436718742)",3
"(436718740, 436718742)",3
"(4203161539, 2252763455)",3
"(5851251264, 1936511558)",5
"(436849185, 436856092)",3
"(436852113, 436718744)",5
"(436852113, 436852111)",3
"(2429209317, 436850158)",4
"(436852190, 436852186)",3
"(436830314, 436849185)",2
"(5593950713, 436856092)",1
"(1936511558, 436718740)",4
"(436850158, 4732212850)",5
"(436830314, 436856092)",3
"(436852118, 436718744)",5
"(3612320599, 436718742)",5
"(436852186, 2429209317)",4
"(436718742, 5853280339)",3
"(5853280339, 436867523)",3
"(2086920269, 436856092)",3
"(871729552, 436857634)",3
"(436856092, 2086920269)",1
"(1872078097, 1872078101)",1
"(5034061154, 5034061165)",9
"(436832407, 4738051052)",11
"(2281095531, 2281095539)",12
"(1904250979, 5034061175)",18
"(2280678862, 4867335001)",12
"(1904250979, 2281095539)",16
"(2282830005, 5034061165)",14
"(2279487893, 2280678862)",12
"(4130264510, 4867335001)",14
"(5034061165, 5034061154)",14
"(5034061175, 5034061165)",14
"(2280678862, 2281095539)",10
"(2279487893, 1904250979)",16
"(2280678862, 2279487893)",13
"(5034061165, 5034061175)",16
"(2279487893, 5034061165)",14
"(4738051052, 732032820)",17
"(4130264510, 4738051052)",9
"(436832407, 2279487893)",13
"(4867335001, 4130264510)",11
"(5034061154, 4738051052)",10
"(2281095539, 1904250979)",8
"(732032714, 4130264510)",13
"(2279487893, 436832407)",15
"(5034061165, 2282830005)",15
"(4738051052, 4130264510)",13
"(4867335001, 4867334998)",12
"(1904250979, 2279487893)",13
"(4738051052, 436832407)",7
"(4738051052, 5034061154)",14
"(2204149203, 1904250979)",6
"(5034061175, 1904250979)",9
"(2281095539, 2280678862)",14
"(1904250979, 2204149203)",9
"(5034061165, 2279487893)",12
"(732032902, 4738051052)",16
"(4867335001, 2280678862)",4
"(2281095539, 2281095531)",11
"(4130264510, 732032714)",15
"(732030839, 732030969)",12
"(436854331, 4184070815)",17
"(3154295735, 1982932598)",3
"(1859704666, 4865831868)",6
"(4184070815, 436854331)",26
"(4865831868, 414684382)",7
"(571449373, 436854331)",4
"(732030981, 732031203)",8
"(5406399771, 3827170332)",9
"(2280599507, 414684382)",5
"(3101791329, 3087683154)",5
"(3087683154, 4184070815)",5
"(3101791329, 2280678672)",6
"(732033348, 732030777)",6
"(1982932598, 3154295735)",7
"(3101791329, 436854331)",5
"(732031005, 5406399786)",6
"(3827547987, 2280599507)",9
"(436835875, 436835871)",8
"(2280678683, 571449373)",7
"(1859704666, 5406399767)",4
"(4184070815, 2280599507)",7
"(3087683154, 414684382)",8
"(2280678672, 3101791329)",5
