time_stamp,total_driver_count_mean
0,24887.89999999999
1,24833.20000000001
2,24655.899999999987
3,24419.699999999986
4,24109.8
5,23851.700000000004
6,23531.200000000026
7,23164.499999999985
8,22790.800000000007
9,22343.300000000007
10,21840.59999999999
11,21261.39999999999
12,20683.40000000001
13,20093.9
14,19509.7
15,18934.999999999996
16,18333.7
17,17771.699999999997
18,17203.2
19,16643.100000000002
20,16118.500000000013
21,15568.600000000008
22,15055.499999999995
23,14621.00000000001
24,14273.40000000001
25,13776.700000000015
26,13408.600000000008
27,13131.00000000001
28,12913.30000000001
29,12798.300000000003
30,12815.600000000011
31,12879.100000000006
32,12977.70000000001
33,13059.500000000018
34,13179.800000000003
35,13367.100000000004
36,13694.299999999994
37,14101.400000000005
38,14562.60000000001
39,15016.000000000011
40,15477.300000000017
41,16030.899999999996
42,16701.30000000002
43,17400.500000000007
44,18118.499999999996
45,18742.00000000001
46,19341.900000000012
47,19921.8
48,20500.90000000002
49,20991.599999999988
50,21389.600000000017
51,21698.499999999993
52,21918.699999999993
53,22131.4
54,22264.89999999999
55,22255.20000000001
56,22346.100000000002
57,22466.300000000003
58,22540.100000000002
59,22635.499999999996
60,22756.5
61,22884.3
62,23016.000000000007
63,23124.099999999988
64,23210.100000000002
65,23286.300000000003
66,23343.59999999999
67,23336.700000000008
68,23325.299999999992
69,23276.999999999996
70,23215.30000000002
71,23159.699999999997
72,23083.700000000008
73,22992.49999999999
74,22848.7
75,22762.500000000015
76,22698.699999999993
77,22667.1
78,22676.60000000001
79,22727.899999999983
80,22840.600000000006
81,22965.400000000012
82,23129.399999999987
83,23320.399999999998
84,23520.800000000003
85,23684.299999999985
86,23855.900000000005
87,23986.59999999999
88,24100.80000000001
89,24217.400000000005
90,24345.800000000003
91,24436.299999999974
92,24505.699999999993
93,24589.799999999996
94,24619.99999999997
95,24677.90000000001
96,24731.599999999977
97,24757.399999999998
98,24762.39999999999
99,24718.4
100,24683.499999999985
101,24662.199999999993
102,24681.400000000005
103,24668.7
104,24688.10000000001
105,24626.999999999993
106,24563.100000000013
107,24596.00000000001
108,24620.799999999985
109,24710.299999999996
110,24799.399999999983
111,24871.599999999988
112,24946.300000000032
113,25014.500000000004
114,25118.29999999998
115,25175.39999999999
116,25239.09999999998
117,25294.2
118,25338.999999999993
119,25365.4
120,25424.39999999999
121,25455.09999999998
122,25511.199999999983
123,25569.799999999996
124,25676.7
125,25848.09999999999
126,26229.999999999985
127,26578.899999999998
128,26838.899999999987
129,26976.49999999999
130,27125.600000000017
131,27173.89999999999
132,27225.799999999992
133,27263.300000000003
134,27322.00000000002
135,27278.600000000013
136,27197.200000000015
137,27050.39999999998
138,26909.600000000006
139,26729.599999999995
140,26571.999999999985
141,26417.799999999992
142,26228.90000000001
143,26122.49999999999
