일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
20181023,화,4.19로,1080012200,아카데미하우스,국립4.19묘지,상행,1179,1,보조간선도로,외곽,강북구,44.37,27.74,51.52,59.43,71.98,42.95,39.85,35.19,29.39,31.9,41.59,45.05,44.66,35.51,39.92,35.44,54.17,47.62,34.24,38.76,31.56,48.7,48.3,50.87
20181023,화,4.19로,1080012800,국립4.19묘지,국립4.19묘지입구,상행,352,2,보조간선도로,외곽,강북구,18.74,19.56,20.23,20.63,18.2,24.23,19.77,15.42,13.23,14.5,18.57,15,15.54,13.45,12.9,15.82,14.69,12.94,16.36,14.3,14.49,18.79,15.48,16.19
20181023,화,4.19로,1080012700,국립4.19묘지입구,국립4.19묘지,하행,354,2,보조간선도로,외곽,강북구,27.53,27.65,26.97,28.04,26.79,27.73,28.57,24.3,24.49,20.51,20.96,18.01,21.37,19.85,20.35,22.92,21.85,23.51,21.87,20.15,19.87,21.69,25.31,25.43
20181023,화,4.19로,1080012100,국립4.19묘지,아카데미하우스,하행,1190,1,보조간선도로,외곽,강북구,48.56,40.97,44.93,66.25,87.24,51.61,46.12,37.36,48.37,44.88,51.09,58.75,41.55,42.89,43.59,44.07,62.28,61.14,47.81,50.33,46.09,49.38,51.1,39.82
20181023,화,가락로,1230024700,방이초교,방이동고분군,상행,844,1,기타도로,외곽,송파구,23.99,25.64,26.63,27.67,22.01,19.88,22.84,17.24,15.86,13.07,18.31,13.03,15.25,18.49,11.48,16.02,16.19,16.28,15.04,15.95,15.22,18.28,17.66,21.68
20181023,화,가락로,1230019500,방이동고분군,송파한양아파트,상행,416,1,기타도로,외곽,송파구,27.14,31.37,32.62,31.03,31.91,29.21,24.92,23.68,21.36,22.69,22.82,20.52,21.45,23.72,20.99,19.26,18.3,18.53,20.83,20.43,24.4,25.28,27.65,28.49
20181023,화,가락로,1230016300,송파한양아파트,송파사거리,상행,478,1,기타도로,외곽,송파구,26.97,28.22,29.01,30.77,27.98,23.08,20.92,20.02,15.19,12.33,12.77,13.97,17.37,16.27,14.49,14.55,14.74,14.97,16.16,15.37,17.16,18.88,19.11,21.81
20181023,화,가락로,1230014100,송파사거리,배명고교,상행,1288,1,기타도로,외곽,송파구,23.87,26.88,30.07,30.66,30.98,22.43,23.59,17.58,18.5,15.58,14.3,17.58,16.75,17.33,16.67,15.39,15.12,16.17,16.5,18.66,16.46,16.37,21.95,22.51
20181023,화,가락로,1230014200,배명고교,송파사거리,하행,1288,1,기타도로,외곽,송파구,26.14,31.6,30.65,30.68,30.45,33.67,24.35,19.42,19.08,17.08,13.17,14.12,16.64,16,16.05,14.76,11.5,16.12,14.67,15.08,15.43,17.84,20.32,25.81
20181023,화,가락로,1230016400,송파사거리,송파한양아파트,하행,484,1,기타도로,외곽,송파구,25.62,31.47,31.9,32.97,32.49,29.29,24.82,23.45,22.27,23.74,19.28,18.75,19.85,21.11,17.75,17.93,16.5,16.29,16.51,18.3,19.21,20.4,21.33,23.86
20181023,화,가락로,1230019600,송파한양아파트,방이동고분군,하행,417,1,기타도로,외곽,송파구,19.87,21.33,24.18,25.57,22.29,24.27,14.94,23.85,15.78,12.51,10.86,9.38,12.12,13.4,9.7,8.52,9.06,6.56,8.84,10.21,12.63,12.51,15.1,19.23
20181023,화,가락로,1230024800,방이동고분군,방이초교,하행,845,1,기타도로,외곽,송파구,22.57,23.92,30.86,28.73,32.55,23.24,12.71,22.15,21.84,20.34,21.76,19.68,20.92,20.47,20.57,17.82,18.86,19.73,16.73,16.88,17.12,18.62,15.72,19.12
20181023,화,가로공원로,1140033400,가로공원로부천시계,신월사거리,상행,586,2,보조간선도로,외곽,양천구,29.77,29.15,33.81,36.07,31.28,34.55,21.41,17.33,15.5,21.33,25.42,20.67,27.38,26.33,23.17,29,24.33,19.25,15.23,17.33,26,30.54,25.77,32.03
